TimeGenerated,UserPrincipalName,IPAddress,Location,City,ResultType,AppDisplayName,ClientAppUsed,AuthenticationRequirement,RiskLevelDuringSignIn,DeviceDetail_displayName
2026-07-17T10:09:26.0000000Z,d.whitfield@northstarhealth.org,99.243.102.47,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-17T10:30:26.0000000Z,l.moreau@northstarhealth.org,99.243.85.93,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-17T11:26:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.23.59,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-17T13:37:26.0000000Z,r.kaur@northstarhealth.org,99.243.18.28,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-17T14:05:26.0000000Z,h.nakamura@northstarhealth.org,99.243.33.51,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-17T15:30:26.0000000Z,t.silvestri@northstarhealth.org,99.243.185.26,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-17T15:31:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.246.213,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-17T16:12:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.132.234,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-18T05:18:26.0000000Z,k.abebe@northstarhealth.org,99.243.81.129,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-18T05:20:26.0000000Z,h.nakamura@northstarhealth.org,99.243.230.248,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-18T06:24:26.0000000Z,t.silvestri@northstarhealth.org,99.243.250.161,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-18T06:32:26.0000000Z,l.moreau@northstarhealth.org,99.243.159.93,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-18T09:02:26.0000000Z,j.okafor@northstarhealth.org,99.243.237.77,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-18T09:09:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.235.170,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-18T09:52:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.77.57,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-18T11:22:26.0000000Z,d.whitfield@northstarhealth.org,99.243.242.90,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-18T11:39:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.238.240,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-18T12:57:26.0000000Z,s.tremblay@northstarhealth.org,99.243.17.222,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-18T14:25:26.0000000Z,r.kaur@northstarhealth.org,99.243.245.246,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-SRV07
2026-07-19T05:50:26.0000000Z,r.kaur@northstarhealth.org,99.243.150.216,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-SRV07
2026-07-19T07:30:26.0000000Z,l.moreau@northstarhealth.org,99.243.84.195,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-19T08:55:26.0000000Z,t.silvestri@northstarhealth.org,99.243.211.163,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-19T08:56:26.0000000Z,h.nakamura@northstarhealth.org,99.243.23.249,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-19T10:14:26.0000000Z,j.okafor@northstarhealth.org,99.243.213.23,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-19T10:37:26.0000000Z,k.abebe@northstarhealth.org,99.243.46.99,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-19T11:11:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.180.114,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-19T13:18:26.0000000Z,s.tremblay@northstarhealth.org,99.243.78.156,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-19T14:41:26.0000000Z,d.whitfield@northstarhealth.org,99.243.22.27,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-19T15:42:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.104.77,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-19T17:37:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.228.71,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-20T05:23:26.0000000Z,l.moreau@northstarhealth.org,99.243.17.162,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-20T08:46:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.187.157,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-20T08:52:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.21.152,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-20T09:13:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.41.221,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-20T09:25:26.0000000Z,j.okafor@northstarhealth.org,99.243.36.163,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-20T09:42:26.0000000Z,t.silvestri@northstarhealth.org,99.243.157.210,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-20T11:05:26.0000000Z,h.nakamura@northstarhealth.org,99.243.68.168,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-20T11:26:26.0000000Z,s.tremblay@northstarhealth.org,99.243.17.136,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-20T12:58:26.0000000Z,r.kaur@northstarhealth.org,99.243.71.144,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-20T16:25:26.0000000Z,d.whitfield@northstarhealth.org,99.243.54.225,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-20T16:57:26.0000000Z,k.abebe@northstarhealth.org,99.243.235.175,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-21T04:55:26.0000000Z,t.silvestri@northstarhealth.org,99.243.166.78,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-21T06:25:26.0000000Z,h.nakamura@northstarhealth.org,99.243.170.21,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-21T06:45:26.0000000Z,j.okafor@northstarhealth.org,99.243.95.18,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-21T07:26:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.24.231,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-21T08:09:26.0000000Z,d.whitfield@northstarhealth.org,99.243.117.20,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-21T08:29:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.195.146,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-21T11:41:26.0000000Z,r.kaur@northstarhealth.org,99.243.155.8,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-21T13:36:26.0000000Z,l.moreau@northstarhealth.org,99.243.131.129,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-21T14:22:26.0000000Z,k.abebe@northstarhealth.org,99.243.88.14,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-21T15:14:26.0000000Z,s.tremblay@northstarhealth.org,99.243.158.169,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-21T17:06:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.129.92,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-22T06:59:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.176.189,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-22T07:20:26.0000000Z,s.tremblay@northstarhealth.org,99.243.93.15,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-22T07:56:26.0000000Z,t.silvestri@northstarhealth.org,99.243.48.205,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-22T08:01:26.0000000Z,l.moreau@northstarhealth.org,99.243.150.192,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-22T08:31:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.139.146,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-22T09:20:26.0000000Z,h.nakamura@northstarhealth.org,99.243.105.59,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-22T12:15:26.0000000Z,d.whitfield@northstarhealth.org,99.243.15.72,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-22T13:05:26.0000000Z,k.abebe@northstarhealth.org,99.243.23.52,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-22T13:12:26.0000000Z,j.okafor@northstarhealth.org,99.243.17.18,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-22T13:58:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.117.243,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-22T17:25:26.0000000Z,r.kaur@northstarhealth.org,99.243.219.100,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-SRV07
2026-07-23T05:43:26.0000000Z,l.moreau@northstarhealth.org,99.243.165.27,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-23T05:57:26.0000000Z,t.silvestri@northstarhealth.org,99.243.180.136,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-23T06:18:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.39.240,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-23T08:00:26.0000000Z,r.kaur@northstarhealth.org,99.243.247.164,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-23T08:50:26.0000000Z,s.tremblay@northstarhealth.org,99.243.89.204,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-23T09:16:26.0000000Z,h.nakamura@northstarhealth.org,99.243.244.248,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-23T10:46:26.0000000Z,k.abebe@northstarhealth.org,99.243.194.209,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-23T12:33:26.0000000Z,j.okafor@northstarhealth.org,99.243.240.166,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-23T12:42:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.41.86,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-23T15:22:26.0000000Z,d.whitfield@northstarhealth.org,99.243.33.47,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-23T15:43:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.10.15,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-24T06:12:26.0000000Z,k.abebe@northstarhealth.org,99.243.12.142,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-24T07:03:26.0000000Z,j.okafor@northstarhealth.org,99.243.16.160,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-24T08:33:26.0000000Z,l.moreau@northstarhealth.org,99.243.166.121,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-24T08:41:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.31.122,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-24T11:12:26.0000000Z,t.silvestri@northstarhealth.org,99.243.95.57,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-24T11:19:26.0000000Z,h.nakamura@northstarhealth.org,99.243.163.20,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-24T12:51:26.0000000Z,r.kaur@northstarhealth.org,99.243.21.8,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-24T13:07:26.0000000Z,s.tremblay@northstarhealth.org,99.243.42.219,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-24T14:48:26.0000000Z,d.whitfield@northstarhealth.org,99.243.116.172,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-24T16:39:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.210.77,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-24T16:44:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.136.122,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-25T05:04:26.0000000Z,r.kaur@northstarhealth.org,99.243.52.82,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-SRV07
2026-07-25T05:16:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.116.201,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-25T07:07:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.16.86,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-25T07:54:26.0000000Z,s.tremblay@northstarhealth.org,99.243.128.78,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-25T09:22:26.0000000Z,k.abebe@northstarhealth.org,99.243.137.15,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-25T09:57:26.0000000Z,d.whitfield@northstarhealth.org,99.243.155.6,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-25T10:22:26.0000000Z,l.moreau@northstarhealth.org,99.243.111.15,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-25T11:57:26.0000000Z,t.silvestri@northstarhealth.org,99.243.168.52,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-25T14:00:26.0000000Z,j.okafor@northstarhealth.org,99.243.18.39,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-25T15:59:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.100.221,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-25T16:04:26.0000000Z,h.nakamura@northstarhealth.org,99.243.205.126,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-26T04:57:26.0000000Z,j.okafor@northstarhealth.org,99.243.65.205,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-26T05:41:26.0000000Z,t.silvestri@northstarhealth.org,99.243.28.115,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-26T06:11:26.0000000Z,r.kaur@northstarhealth.org,99.243.24.44,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-SRV07
2026-07-26T07:03:26.0000000Z,k.abebe@northstarhealth.org,99.243.159.137,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-26T09:02:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.111.7,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-26T09:57:26.0000000Z,l.moreau@northstarhealth.org,99.243.175.88,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-26T12:13:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.168.101,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-26T12:53:26.0000000Z,s.tremblay@northstarhealth.org,99.243.60.222,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-26T13:44:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.63.9,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-26T16:56:26.0000000Z,d.whitfield@northstarhealth.org,99.243.213.243,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-26T17:29:26.0000000Z,h.nakamura@northstarhealth.org,99.243.103.232,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-27T07:52:26.0000000Z,t.silvestri@northstarhealth.org,99.243.60.140,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-27T07:57:26.0000000Z,r.kaur@northstarhealth.org,99.243.91.96,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-27T08:05:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.137.90,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-27T08:12:26.0000000Z,h.nakamura@northstarhealth.org,99.243.21.122,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-27T08:50:26.0000000Z,l.moreau@northstarhealth.org,99.243.122.119,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-27T13:39:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.60.176,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-27T15:06:26.0000000Z,d.whitfield@northstarhealth.org,99.243.159.236,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-27T16:15:26.0000000Z,k.abebe@northstarhealth.org,99.243.143.94,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-27T16:35:26.0000000Z,s.tremblay@northstarhealth.org,99.243.18.250,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-27T16:56:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.205.121,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-27T16:57:26.0000000Z,j.okafor@northstarhealth.org,99.243.121.210,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-28T05:10:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.92.115,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-28T05:30:26.0000000Z,r.kaur@northstarhealth.org,99.243.193.76,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-28T06:24:26.0000000Z,k.abebe@northstarhealth.org,99.243.35.18,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-28T06:33:26.0000000Z,l.moreau@northstarhealth.org,99.243.38.98,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-28T08:59:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.198.49,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-28T09:18:26.0000000Z,d.whitfield@northstarhealth.org,99.243.231.32,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-28T10:54:26.0000000Z,t.silvestri@northstarhealth.org,99.243.103.78,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-28T11:11:26.0000000Z,s.tremblay@northstarhealth.org,99.243.246.233,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-28T12:00:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.130.57,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-28T12:27:26.0000000Z,h.nakamura@northstarhealth.org,99.243.102.110,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-28T13:52:26.0000000Z,j.okafor@northstarhealth.org,99.243.241.115,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-29T05:10:26.0000000Z,r.kaur@northstarhealth.org,99.243.170.199,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-29T05:52:26.0000000Z,j.okafor@northstarhealth.org,99.243.129.35,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-FILE-SRV02
2026-07-29T07:16:26.0000000Z,d.whitfield@northstarhealth.org,99.243.60.5,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-29T08:08:26.0000000Z,t.silvestri@northstarhealth.org,99.243.21.153,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
2026-07-29T09:09:26.0000000Z,l.moreau@northstarhealth.org,99.243.118.164,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-29T10:11:26.0000000Z,h.nakamura@northstarhealth.org,99.243.185.12,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
